,LLS,LLS,WLLS,WLLS
,Accuracy,Precision,Accuracy,Precision
FP,10.2878,89.6624,-4.21620,9.66286
TP,7.23795,39.4677,-11.2203,-140.621
PS,2.08241,75.5199,1.20930,-36.0705
TE,3.42591,9059.22,-5.01595,8676.73
