,LLS,LLS,WLLS,WLLS
,Accuracy,Precision,Accuracy,Precision
FP,-23.7568,2.62463,-2.58346,-12.7787
TP,-65.6238,-161.931,-11.0015,-47.3631
PS,-46.5291,83.2393,-24.6460,40.3227
TE,-23.2832,8855.20,-4.29615,9233.76
