,LLS,LLS,WLLS,WLLS
,Accuracy,Precision,Accuracy,Precision
FP,0.928306,-3.07226,0.338641,-3.98448
TP,0.990302,-3.48035,0.216911,-3.25892
PS,0.130454,-2.41904,-0.0579327,-1.93878
TE,0.0811804,-2.74231,0.100867,-3.19030
